SampleID	PrimerPairID	BarcodeID	ProjectID
Castilleja_styermarkii_06042	AT1G04200,AT1G13040,AT1G17760,AT1G26640,AT1G43860,AT1G80150_A,AT2G17670,AT2G28190_A,AT2G29210_A,AT2G29210_B_1,AT2G29210_B_2,AT2G38020_a_A,AT2G38020_a_C,AT2G38020_b,AT3G14730,AT3G16890,AT4G30825,AT5G18475,ETSB_18S_IGS,Tha_ITS1F_ITS2R,W11F_W12R,W12F_W13R,AT1_320F_C1261R,AT5_C875F_1890R	Lima550	Tank_D/Castilleja_48_single_plex_Jun18
Castilleja_oresbia_10141	AT1G04200,AT1G13040,AT1G17760,AT1G26640,AT1G43860,AT1G80150_A,AT2G17670,AT2G28190_A,AT2G29210_A,AT2G29210_B_1,AT2G29210_B_2,AT2G38020_a_A,AT2G38020_a_C,AT2G38020_b,AT3G14730,AT3G16890,AT4G30825,AT5G18475,ETSB_18S_IGS,Tha_ITS1F_ITS2R,W11F_W12R,W12F_W13R,AT1_320F_C1261R,AT5_C875F_1890R	Lima551	Tank_D/Castilleja_48_single_plex_Jun18
Castilleja_elmeri_10142	AT1G04200,AT1G13040,AT1G17760,AT1G26640,AT1G43860,AT1G80150_A,AT2G17670,AT2G28190_A,AT2G29210_A,AT2G29210_B_1,AT2G29210_B_2,AT2G38020_a_A,AT2G38020_a_C,AT2G38020_b,AT3G14730,AT3G16890,AT4G30825,AT5G18475,ETSB_18S_IGS,Tha_ITS1F_ITS2R,W11F_W12R,W12F_W13R,AT1_320F_C1261R,AT5_C875F_1890R	Lima552	Tank_D/Castilleja_48_single_plex_Jun18
Castilleja_arvensis_10155	AT1G04200,AT1G13040,AT1G17760,AT1G26640,AT1G43860,AT1G80150_A,AT2G17670,AT2G28190_A,AT2G29210_A,AT2G29210_B_1,AT2G29210_B_2,AT2G38020_a_A,AT2G38020_a_C,AT2G38020_b,AT3G14730,AT3G16890,AT4G30825,AT5G18475,ETSB_18S_IGS,Tha_ITS1F_ITS2R,W11F_W12R,W12F_W13R,AT1_320F_C1261R,AT5_C875F_1890R	Lima553	Tank_D/Castilleja_48_single_plex_Jun18
Castilleja_mexicana_10254	AT1G04200,AT1G13040,AT1G17760,AT1G26640,AT1G43860,AT1G80150_A,AT2G17670,AT2G28190_A,AT2G29210_A,AT2G29210_B_1,AT2G29210_B_2,AT2G38020_a_A,AT2G38020_a_C,AT2G38020_b,AT3G14730,AT3G16890,AT4G30825,AT5G18475,ETSB_18S_IGS,Tha_ITS1F_ITS2R,W11F_W12R,W12F_W13R,AT1_320F_C1261R,AT5_C875F_1890R	Lima554	Tank_D/Castilleja_48_single_plex_Jun18
Castilleja_pilosa_var_steenensis_10270	AT1G04200,AT1G13040,AT1G17760,AT1G26640,AT1G43860,AT1G80150_A,AT2G17670,AT2G28190_A,AT2G29210_A,AT2G29210_B_1,AT2G29210_B_2,AT2G38020_a_A,AT2G38020_a_C,AT2G38020_b,AT3G14730,AT3G16890,AT4G30825,AT5G18475,ETSB_18S_IGS,Tha_ITS1F_ITS2R,W11F_W12R,W12F_W13R,AT1_320F_C1261R,AT5_C875F_1890R	Lima555	Tank_D/Castilleja_48_single_plex_Jun18
Castilleja_densiflora_var_densiflora_10278	AT1G04200,AT1G13040,AT1G17760,AT1G26640,AT1G43860,AT1G80150_A,AT2G17670,AT2G28190_A,AT2G29210_A,AT2G29210_B_1,AT2G29210_B_2,AT2G38020_a_A,AT2G38020_a_C,AT2G38020_b,AT3G14730,AT3G16890,AT4G30825,AT5G18475,ETSB_18S_IGS,Tha_ITS1F_ITS2R,W11F_W12R,W12F_W13R,AT1_320F_C1261R,AT5_C875F_1890R	Lima556	Tank_D/Castilleja_48_single_plex_Jun18
Castilleja_laciniata_10299	AT1G04200,AT1G13040,AT1G17760,AT1G26640,AT1G43860,AT1G80150_A,AT2G17670,AT2G28190_A,AT2G29210_A,AT2G29210_B_1,AT2G29210_B_2,AT2G38020_a_A,AT2G38020_a_C,AT2G38020_b,AT3G14730,AT3G16890,AT4G30825,AT5G18475,ETSB_18S_IGS,Tha_ITS1F_ITS2R,W11F_W12R,W12F_W13R,AT1_320F_C1261R,AT5_C875F_1890R	Lima557	Tank_D/Castilleja_48_single_plex_Jun18
Castilleja_pilosa_var_longispica_11002	AT1G04200,AT1G13040,AT1G17760,AT1G26640,AT1G43860,AT1G80150_A,AT2G17670,AT2G28190_A,AT2G29210_A,AT2G29210_B_1,AT2G29210_B_2,AT2G38020_a_A,AT2G38020_a_C,AT2G38020_b,AT3G14730,AT3G16890,AT4G30825,AT5G18475,ETSB_18S_IGS,Tha_ITS1F_ITS2R,W11F_W12R,W12F_W13R,AT1_320F_C1261R,AT5_C875F_1890R	Lima558	Tank_D/Castilleja_48_single_plex_Jun18
Castilleja_pilosa_var_longispica_11003	AT1G04200,AT1G13040,AT1G17760,AT1G26640,AT1G43860,AT1G80150_A,AT2G17670,AT2G28190_A,AT2G29210_A,AT2G29210_B_1,AT2G29210_B_2,AT2G38020_a_A,AT2G38020_a_C,AT2G38020_b,AT3G14730,AT3G16890,AT4G30825,AT5G18475,ETSB_18S_IGS,Tha_ITS1F_ITS2R,W11F_W12R,W12F_W13R,AT1_320F_C1261R,AT5_C875F_1890R	Lima559	Tank_D/Castilleja_48_single_plex_Jun18
